id,slug,nameEn,nameAr,labelSingularEn,labelSingularAr,labelPluralEn,labelPluralAr,icon,routePrefix,fieldSchema,displaySchema,adminConfig,sortOrder,isEnabled,createdAt,updatedAt
cmpv9625p0001hf2w01fa4hzm,catalog-items,Catalog Items,عناصر الفهرس,Catalog item,عنصر,Catalog items,عناصر الفهرس,package,packages,"[{""key"":""duration"",""type"":""number"",""group"":""pricing"",""compare"":true,""labelEn"":""Duration (days)"",""required"":true,""compareGroup"":""Pricing"",""compareOrder"":0,""highlightDifferences"":true},{""key"":""price"",""type"":""price"",""group"":""pricing"",""compare"":true,""labelEn"":""Price"",""required"":true,""compareGroup"":""Pricing"",""compareOrder"":10,""highlightDifferences"":true},{""key"":""currency"",""type"":""text"",""group"":""pricing"",""compare"":true,""labelEn"":""Currency"",""placeholder"":""USD"",""compareGroup"":""Pricing"",""compareOrder"":20,""highlightDifferences"":true},{""key"":""travelDates"",""type"":""json"",""group"":""details"",""labelEn"":""Travel dates (JSON array)""},{""key"":""facilities"",""type"":""json"",""group"":""details"",""labelEn"":""Facilities (JSON)"",""localized"":true},{""key"":""features"",""type"":""json"",""group"":""details"",""labelEn"":""Features (JSON)"",""localized"":true},{""key"":""itinerary"",""type"":""json"",""group"":""details"",""labelEn"":""Itinerary (JSON)"",""localized"":true},{""key"":""hotelInfo"",""type"":""textarea"",""group"":""details"",""compare"":true,""labelEn"":""Hotel info"",""localized"":true,""compareGroup"":""Details"",""compareOrder"":30,""highlightDifferences"":true},{""key"":""airlineInfo"",""type"":""textarea"",""group"":""details"",""compare"":true,""labelEn"":""Airline info"",""localized"":true,""compareGroup"":""Details"",""compareOrder"":40,""highlightDifferences"":true}]","{""showPrice"":true,""showCategory"":true,""showDuration"":true}","{""isComparable"":true,""inquiryEnabled"":true,""comparisonSettings"":{""enabled"":true,""maxItems"":4,""comparisonMode"":""hybrid""}}",0,1,2026-06-01T13:36:59.246Z,2026-06-04T21:15:29.372Z
cmpv9625t0002hf2wcgzesujw,listings,Listings,قوائم,Listing,قائمة,Listings,قوائم,building,hotels-transport,"[{""key"":""city"",""type"":""select"",""group"":""location"",""compare"":true,""labelEn"":""City"",""options"":[{""value"":""MAKKAH"",""labelEn"":""Makkah""},{""value"":""MADINAH"",""labelEn"":""Madinah""}],""compareGroup"":""Location"",""compareOrder"":0,""highlightDifferences"":true},{""key"":""stars"",""type"":""number"",""group"":""details"",""compare"":true,""labelEn"":""Star rating"",""compareGroup"":""Details"",""compareOrder"":10,""highlightDifferences"":true},{""key"":""highlights"",""type"":""json"",""group"":""details"",""labelEn"":""Highlights (JSON)"",""localized"":true},{""key"":""address"",""type"":""textarea"",""group"":""location"",""labelEn"":""Address"",""localized"":true},{""key"":""distance"",""type"":""textarea"",""group"":""location"",""compare"":true,""labelEn"":""Distance info"",""localized"":true,""compareGroup"":""Location"",""compareOrder"":20,""highlightDifferences"":true},{""key"":""amenities"",""type"":""json"",""group"":""details"",""compare"":true,""labelEn"":""Amenities (JSON)"",""localized"":true,""compareGroup"":""Details"",""compareOrder"":30,""highlightDifferences"":true}]","{""showCity"":true,""showPrice"":false,""showStars"":true}","{""isComparable"":true,""inquiryEnabled"":false,""comparisonSettings"":{""enabled"":true,""maxItems"":4,""comparisonMode"":""hybrid""}}",1,1,2026-06-01T13:36:59.249Z,2026-06-04T21:15:29.384Z
cmpv9625u0003hf2w6pjnojic,offerings,Offerings,عروض,Offering,عرض,Offerings,عروض,briefcase,hotels-transport,"[{""key"":""offeringType"",""type"":""select"",""group"":""cta"",""compare"":true,""labelEn"":""Type"",""options"":[{""value"":""TRANSPORT"",""labelEn"":""Transport""},{""value"":""AIRPORT_PICKUP"",""labelEn"":""Airport pickup""},{""value"":""HOTEL"",""labelEn"":""Hotel service""},{""value"":""OTHER"",""labelEn"":""Other""}],""compareGroup"":""Cta"",""compareOrder"":0,""highlightDifferences"":true},{""key"":""highlights"",""type"":""json"",""group"":""details"",""compare"":true,""labelEn"":""Highlights (JSON)"",""localized"":true,""compareGroup"":""Details"",""compareOrder"":10,""highlightDifferences"":true},{""key"":""icon"",""type"":""text"",""group"":""display"",""labelEn"":""Icon name"",""placeholder"":""compass""},{""key"":""ctaLabel"",""type"":""text"",""group"":""cta"",""compare"":true,""labelEn"":""CTA label"",""localized"":true,""compareGroup"":""Cta"",""compareOrder"":20,""highlightDifferences"":true},{""key"":""ctaHref"",""type"":""url"",""group"":""cta"",""labelEn"":""CTA link""}]","{""showIcon"":true,""showPrice"":false}","{""isComparable"":true,""inquiryEnabled"":false,""comparisonSettings"":{""enabled"":true,""maxItems"":4,""comparisonMode"":""hybrid""}}",2,1,2026-06-01T13:36:59.251Z,2026-06-04T21:15:29.387Z
cmpwfc6xz0000hfl4uqgff75a,test-content,test content,اختبار محتوى,Item,عنصر,Items,عناصر,box,test-content,"[{""key"":""field1"",""type"":""text"",""group"":""general"",""labelEn"":""New field"",""localized"":true},{""key"":""field2"",""type"":""number"",""group"":""general"",""labelEn"":""New field"",""localized"":true},{""key"":""field3"",""type"":""price"",""group"":""general"",""labelEn"":""New field""}]","{}","{""inquiryEnabled"":true}",0,1,2026-06-02T09:17:29.253Z,2026-06-02T09:22:56.531Z
